battle_id,attacker_name,defender_name,winner_name,attacker_bst,defender_bst,type_multiplier,attacker_type,defender_type,battle_date
1,nidoran-f,squirtle,squirtle,275,314,1.0,poison,water,2025-11-02
2,growlithe,clefable,clefable,350,483,1.0,fire,fairy,2025-03-26
3,kabuto,ekans,ekans,355,288,1.0,rock,poison,2026-02-19
4,wartortle,arbok,wartortle,405,448,1.0,water,poison,2025-06-22
5,squirtle,articuno,squirtle,314,580,1.0,water,ice,2025-04-09
6,kabuto,lickitung,kabuto,355,385,1.0,rock,normal,2025-05-10
7,tentacool,ivysaur,ivysaur,335,405,0.5,water,grass,2025-12-16
8,koffing,grimer,koffing,340,325,0.5,poison,poison,2025-11-17
9,dewgong,sandshrew,dewgong,475,300,2.0,water,ground,2026-01-17
10,gastly,muk,muk,310,500,1.0,ghost,poison,2026-02-13
11,goldeen,omanyte,goldeen,320,355,2.0,water,rock,2025-08-26
12,spearow,aerodactyl,aerodactyl,262,515,0.5,normal,rock,2025-04-20
13,haunter,dragonair,haunter,405,420,1.0,ghost,dragon,2026-01-31
14,butterfree,arcanine,arcanine,395,555,0.5,bug,fire,2026-01-26
15,poliwag,raichu,poliwag,300,485,1.0,water,electric,2025-07-18
16,gengar,golbat,gengar,500,455,1.0,ghost,poison,2025-11-20
17,bellsprout,rattata,rattata,300,253,1.0,grass,normal,2025-12-10
18,porygon,abra,porygon,395,310,1.0,normal,psychic,2025-08-25
19,weepinbell,snorlax,weepinbell,390,540,1.0,grass,normal,2025-09-22
20,beedrill,arcanine,arcanine,395,555,0.5,bug,fire,2025-09-27
21,exeggutor,bellsprout,exeggutor,530,300,0.5,grass,grass,2025-05-21
22,magnemite,golduck,golduck,325,500,2.0,electric,water,2025-08-17
23,goldeen,vulpix,goldeen,320,299,2.0,water,fire,2025-11-01
24,articuno,omanyte,articuno,580,355,1.0,ice,rock,2025-05-12
25,weezing,mewtwo,weezing,490,680,1.0,poison,psychic,2025-11-15
26,clefable,lapras,lapras,483,535,1.0,fairy,water,2026-02-11
27,nidoran-f,wigglytuff,wigglytuff,275,435,1.0,poison,normal,2025-03-24
28,koffing,pidgeotto,koffing,340,349,1.0,poison,normal,2025-05-06
29,staryu,flareon,staryu,340,525,2.0,water,fire,2025-05-28
